network,status,reason,a_true,b_true,theta_true,beta,num_nodes,num_edges,community_0_nodes,community_1_nodes,intra_community_edges,inter_community_edges,intra_community_edge_rate,inter_community_edge_rate,num_exposure_rows,valid_exposure_rate,m_out_positive_rows,m_out_positive_rate,positive_y_rows,positive_y_rate,positive_y_with_m_out_rows,positive_y_with_m_out_rate,m_in_mean,m_in_std,m_in_q0,m_in_q25,m_in_q50,m_in_q75,m_in_q100,m_out_mean,m_out_std,m_out_q0,m_out_q25,m_out_q50,m_out_q75,m_out_q100,m_in_m_out_correlation,coef_m_in_raw,coef_m_out_raw,coef_degree_raw,intercept_raw,a_hat,b_hat,theta_hat,fit_iterations
friendster,ok,,0.6,0.2,0.15,5.0,2368,66848,1319,1049,58927,7921,0.8815073001436093,0.11849269985639062,4432735,1.0,108559,0.02449029775071147,17364,0.0039172204068143035,91,0.005240727942870307,0.238078973816391,0.6282964953813535,0.0,0.0,0.0,0.0,34.0,0.025821755642960836,0.1672570726340346,0.0,0.0,0.0,0.0,4.0,0.006934486990861723,2.94317630927523,0.02947573610392722,-0.7351341019636387,-0.04566841672158249,0.588635261855046,0.005895147220785444,0.14702682039272774,13
youtube,ok,,0.6,0.2,0.15,5.0,3269,14510,1635,1634,8202,6308,0.5652653342522398,0.43473466574776015,2073001,1.0,512566,0.24725796080175552,326377,0.15744179573478256,108803,0.3333660153748579,0.9418697820213304,3.3215399485216244,0.0,0.0,0.0,1.0,125.0,0.7817651800457405,2.9327160811684085,0.0,0.0,0.0,0.0,128.0,0.6970407036278364,3.005997873076299,1.0028265959992695,-0.7519571444960481,0.006387895444638116,0.6011995746152599,0.2005653191998539,0.15039142889920962,18
orkut,ok,,0.6,0.2,0.15,5.0,4621,36745,3348,1273,26455,10290,0.7199618995781739,0.2800381004218261,6288982,1.0,868768,0.1381412762828706,231119,0.0367498269195237,52361,0.22655428588735674,0.4414607960398042,0.9144204404695034,0.0,0.0,0.0,1.0,24.0,0.2239775849255094,0.7821420547487691,0.0,0.0,0.0,0.0,27.0,0.14127310430182377,2.997804349099043,0.997531864129634,-0.7498508213392303,0.0023676482707804102,0.5995608698198086,0.19950637282592681,0.14997016426784607,22
