network,status,skip_reason,num_nodes,num_edges,num_communities,original_num_nodes,original_num_edges,sampled,sampling_method,a_true,b_true,theta_true,beta,a_hat,b_hat,theta_hat,a_abs_error,b_abs_error,theta_abs_error,a_rel_error,b_rel_error,theta_rel_error,num_exposure_rows,positive_y_rate,valid_exposure_rate,n_cascades,max_steps,seed_size,zero_exposure_rate,m_in_std,m_out_std,degree_std,design_condition_number,fit_iterations
friendster,ok,,2368,66848,2,2368,66848,False,none,0.6,0.2,0.05,5.0,0.5997646845025643,0.20001707891917464,0.04995224779219361,0.00023531549743571745,1.7078919174629004e-05,4.775220780639522e-05,0.00039219249572619574,8.539459587314502e-05,0.0009550441561279044,1280800,0.1844940662086196,1.0,100,20,5,0.5039412866958151,8.194379569714371,2.111006011130063,51.36662346758988,1.7910928129531238,24
friendster,ok,,2368,66848,2,2368,66848,False,none,0.6,0.2,0.1,5.0,0.6003353608276567,0.20015170383991054,0.10008639869343487,0.0003353608276567277,0.00015170383991053304,8.63986934348665e-05,0.0005589347127612129,0.0007585191995526652,0.000863986934348665,4059087,0.030747554807275625,1.0,100,20,5,0.5836002036911256,3.688053335943405,1.4632926750794413,51.20179550773403,1.4987050361440455,24
friendster,ok,,2368,66848,2,2368,66848,False,none,0.6,0.2,0.15,5.0,0.588635261855046,0.005895147220785444,0.14702682039272774,0.011364738144953979,0.19410485277921458,0.0029731796072722527,0.018941230241589967,0.9705242638960728,0.01982119738181502,4432735,0.0039172204068143035,1.0,100,20,5,0.7949985731156949,0.6282964245200401,0.16725705377181396,50.971701911162356,1.3557363662114237,13
friendster,ok,,2368,66848,2,2368,66848,False,none,0.6,0.4,0.05,5.0,0.5997825191187476,0.3994963703507783,0.0499703975661724,0.0002174808812523965,0.0005036296492217374,2.9602433827602415e-05,0.00036246813542066086,0.0012590741230543434,0.0005920486765520483,1252517,0.1886593156021036,1.0,100,20,5,0.5104345889117673,8.472948124336593,1.822160403426131,51.347823464870345,1.8541556006622515,23
friendster,ok,,2368,66848,2,2368,66848,False,none,0.6,0.4,0.1,5.0,0.5983069749492418,0.39874515816288464,0.0997039162266358,0.00169302505075819,0.0012548418371153836,0.00029608377336420855,0.002821708417930317,0.003137104592788459,0.0029608377336420855,3982999,0.04185865976868184,1.0,100,20,5,0.5761595722218359,4.3421424900911925,1.2871299377249898,51.213009430730196,1.7696586999438488,31
friendster,ok,,2368,66848,2,2368,66848,False,none,0.6,0.4,0.15,5.0,0.581456262068974,0.022675459392424636,0.14553731402303444,0.018543737931025928,0.37732454060757536,0.004462685976965558,0.030906229885043213,0.9433113515189384,0.029751239846437055,4358337,0.003942788269929562,1.0,100,20,5,0.7969571880283696,0.6191353045278368,0.1670133417951629,50.97769256417655,1.3589492602222446,14
friendster,ok,,2368,66848,2,2368,66848,False,none,0.6,0.6,0.05,5.0,0.5991605816479034,0.6006060093509779,0.049970035177517774,0.0008394183520965548,0.0006060093509778763,2.9964822482228537e-05,0.0013990305868275914,0.0010100155849631274,0.0005992964496445707,1225261,0.19285686886304224,1.0,100,20,5,0.5134301997696817,8.136519782530094,1.6171086736233828,51.37985825705399,1.896325863863446,35
friendster,ok,,2368,66848,2,2368,66848,False,none,0.6,0.6,0.1,5.0,0.5990178494293767,0.6004668001285884,0.09986760259068964,0.0009821505706232303,0.00046680012858846265,0.0001323974093103697,0.001636917617705384,0.0007780002143141045,0.001323974093103697,3805251,0.058172509513827075,1.0,100,20,5,0.5753975230543268,5.366089213443691,1.2936550857779252,51.098627400122695,1.879034791343593,22
friendster,ok,,2368,66848,2,2368,66848,False,none,0.6,0.6,0.15,5.0,0.5871442250322056,0.039869813764741954,0.1470854777199715,0.012855774967794331,0.560130186235258,0.002914522280028503,0.021426291612990554,0.9335503103920967,0.019430148533523355,4446099,0.003915792248440712,1.0,100,20,5,0.7880710708421023,0.6320056650445313,0.1734345105169917,50.96556474495437,1.3672841476483406,15
friendster,ok,,2368,66848,2,2368,66848,False,none,0.8,0.2,0.05,5.0,0.799447593294992,0.2009184530972858,0.049963079234658266,0.0005524067050080017,0.0009184530972857763,3.6920765341737216e-05,0.0006905083812600021,0.0045922654864288814,0.0007384153068347443,1060341,0.2228528369647123,1.0,100,20,5,0.5188934503145686,8.563252753201983,2.3758093981299573,51.3498979531728,1.716141401603812,32
