fit_scope,model,time_control,intercept,coef_m_in,coef_m_out,coef_degree,coef_log_time,coef_log_user_activity,coef_log_cascade_size,coef_time_1_3h,coef_time_3_6h,coef_time_6_12h,coef_time_12_24h,coef_time_24h_plus,a_eff,b_eff,theta_eff,converged,iterations,warning
full,D0,log1p_time_bin,-7.343957657841451,,,0.002369615216705959,-0.5282269934758649,,,,,,,,,,-0.0004739230433411918,1,2,
full,D1,log1p_time_bin,-7.3242086931985835,0.027107987871285648,-0.048634917219931885,0.0019862859699256307,-0.5344873509550172,,,,,,,,0.00542159757425713,-0.009726983443986377,-0.0003972571939851261,1,5,
full,D2,log1p_time_bin,-9.572380202799469,0.008668992925080212,0.014967483966582644,0.00023562617467052838,-0.5479944129524542,0.8847156869086782,,,,,,,0.0017337985850160425,0.002993496793316529,-4.712523493410568e-05,1,7,
full,D3,log1p_time_bin,-10.873678409252458,0.005945365100502652,-0.010144128689606418,0.0005294109098725262,-1.3022001099185287,0.8788255874680204,0.6391046069799108,,,,,,0.0011890730201005305,-0.0020288257379212837,-0.00010588218197450523,1,6,
full,D3,piecewise_time,-10.457738536899537,0.004289373752063928,-0.013108865017469603,0.0006306811127213187,,0.878428704902425,0.5004317504684006,-1.760354853410831,-2.0593354860869173,-2.4819471784228995,-2.9370669027480067,-5.023830412605772,0.0008578747504127855,-0.0026217730034939204,-0.00012613622254426375,1,11,
exposed_only,D1,log1p_time_bin,-4.6541481721725155,0.03631399048854833,-0.04430993665377299,-0.000738873011197142,-1.051194141846266,,,,,,,,0.007262798097709666,-0.008861987330754597,0.0001477746022394284,1,6,
exposed_only,D2,log1p_time_bin,-7.423823026202376,0.011564952643827647,0.02759555145835056,-0.0009865912658416633,-0.9882309847556808,0.789472972667391,,,,,,,0.0023129905287655296,0.0055191102916701115,0.00019731825316833266,1,7,
exposed_only,D3,log1p_time_bin,-8.087672670563691,0.010749264672518025,0.01979542519180785,-0.0008314328208764046,-1.2163467192964488,0.7924723547581507,0.23478668004309675,,,,,,0.002149852934503605,0.00395908503836157,0.00016628656417528093,1,5,
