model,rows,positives,weighted_y_rate,weighted_log_loss,weighted_brier,weighted_roc_auc,weighted_pr_auc,best_epoch,fit_stories,validation_stories,test_stories,seed,features
GNN,78636,13106,0.00015167313954684588,0.001288529637385004,0.00015143698270746262,0.8825299027653085,0.0036506749789601274,5,72,8,20,42,degree;community_embedding;log_user_activity;log_cascade_size;log_time
GNN+counts,78636,13106,0.00015167313954684588,0.0012920446493757715,0.00015141147320310252,0.8801162830396451,0.003398611788944996,3,72,8,20,42,degree;community_embedding;log_user_activity;log_cascade_size;log_time;m_in;m_out
