model,calibration,fold,model_fit_stories,calibration_stories,test_stories,story_overlap,rows,positives,weighted_positive_prevalence,weighted_log_loss,weighted_brier,weighted_roc_auc,weighted_pr_auc,platt_intercept,platt_slope,platt_converged,platt_iterations,platt_warning,final_model_decision,full_to_context_log_loss_ratio,full_to_context_brier_ratio
XGB_context,uncalibrated,1,64,16,20,0,93138,15523,0.0001792684114219165,0.0015569800352913082,0.0001812909638311459,0.902057150249717,0.005965625494256719,,,,,,,,
XGB_context,platt,1,64,16,20,0,93138,15523,0.0001792684114219165,0.001478420024883245,0.00017917985847215433,0.9020571512495082,0.005965625684660622,-0.8764482657473884,0.9140903056532473,1,5,,,,
XGB_full,uncalibrated,1,64,16,20,0,93138,15523,0.0001792684114219165,0.0015190324078737248,0.00018191432835133208,0.9051067959332249,0.01124583546282823,,,,,,,,
XGB_full,platt,1,64,16,20,0,93138,15523,0.0001792684114219165,0.0014407046140344623,0.00017862751973889398,0.9051067952185434,0.011245835363643136,-1.2872487863813937,0.86348753008756,1,6,,,,
XGB_context,uncalibrated,2,64,16,20,0,48642,8107,0.0001166309506259768,0.0009590052040285161,0.0001166976227609711,0.9059166723302574,0.010213338647483212,,,,,,,,
XGB_context,platt,2,64,16,20,0,48642,8107,0.0001166309506259768,0.000950845048801657,0.00011607922595275734,0.9059166776872257,0.010213339240940254,-1.06989310014532,0.8878646784157974,1,5,,,,
XGB_full,uncalibrated,2,64,16,20,0,48642,8107,0.0001166309506259768,0.0009798436369860674,0.00012130256425325546,0.9081428785106326,0.015825209503668995,,,,,,,,
XGB_full,platt,2,64,16,20,0,48642,8107,0.0001166309506259768,0.0009497531871406799,0.00011629634385463057,0.9081428677840275,0.015825209469461626,-1.280852766684843,0.8603216463783417,1,6,,,,
XGB_context,uncalibrated,3,64,16,20,0,47778,7963,0.00011582107777221742,0.0009727865774571179,0.00011730862290824804,0.9169434275009085,0.013091064072261635,,,,,,,,
XGB_context,platt,3,64,16,20,0,47778,7963,0.00011582107777221742,0.0009668419530791151,0.00011583573738781332,0.9169434254975095,0.013091065523238568,-0.8423064835985699,0.8724791579552664,1,5,,,,
XGB_full,uncalibrated,3,64,16,20,0,47778,7963,0.00011582107777221742,0.0009666538117717314,0.00011933385659445238,0.9181942336765134,0.010132011791274008,,,,,,,,
XGB_full,platt,3,64,16,20,0,47778,7963,0.00011582107777221742,0.0009564802179783074,0.00011676660321069755,0.9181942332954488,0.010132012602703081,-0.9612458852849652,0.8637232110778311,1,5,,,,
XGB_context,uncalibrated,4,64,16,20,0,106482,17747,0.0001691028968878434,0.0013898615483163156,0.00016836020653900174,0.8960157043287711,0.01102536018278851,,,,,,,,
